编号,子集,问题(中文参考),证据(中文参考),正确原文(中文参考),幻觉文本(中文参考),幻觉文本(英文-判定用),LLM标注_错误片段1(英文),LLM标注_类型1,片段1对吗(Y对/P部分/N错),类型1对吗(Y/N),LLM标注_错误片段2(英文),LLM标注_类型2,片段2对吗(Y对/P部分/N错),类型2对吗(Y/N),漏标的错误-逐字复制英文,漏标类型,备注,问题(英文参考),证据(英文参考),正确原文(英文参考)
inj_0906,受控,家庭医生了解医疗服务的费用吗？,为确定46种常用检查和治疗的费用，并评估不列颠哥伦比亚省家庭医生对这些费用的了解程度。通过邮寄问卷，询问与家庭医疗实践相关的23种检查和23种治疗的费用。随机抽取600名医生样本，要求其报告对费用的了解程度并估算这46个项目的费用。地点为不列颠哥伦比亚省。对象为600名家庭医生。估算值在实际费用25%以内者被视为正确。研究探讨了费用了解程度与受访者特征（如性别、执业地点）之间的关联，并评估了估算误差的程度。总体而言，回收了283份（47.2%）问卷，分析了259份。很少有受访者将费用估算在真实费用的25%以内，且估算值高度可变。医生低估了昂贵药物和实验室检查的费用，而高估了廉价项目的费用。,不列颠哥伦比亚省的家庭医生对医疗服务的费用知之甚少。,不列颠哥伦比亚省的家庭医生对医疗服务的费用知之甚少，能将任何项目估算在真实费用25%以内的医生不足五分之一。,"Family doctors in British Columbia have little awareness of the costs of medical care, with fewer than one in five physicians estimating any item within 25% of its true cost.",with fewer than one in five physicians estimating any item within 25% of its true cost,凭空捏造(invented),,,,,,,,,,Do family physicians know the costs of medical care?,"To determine the cost of 46 commonly used investigations and therapies and to assess British Columbia family doctors' awareness of these costs. Mailed survey asking about costs of 23 investigations and 23 therapies relevant to family practice. A random sample of 600 doctors was asked to report their awareness of costs and to estimate costs of the 46 items. British Columbia. Six hundred family physicians. Estimates within 25% of actual cost were considered correct. Associations between cost awareness and respondents'characteristics (eg, sex, practice location) were sought. Degree of error in estimates was also assessed. Overall, 283 (47.2%) surveys were returned and 259 analyzed. Few respondents estimated costs within 25% of true cost, and estimates were highly variable. Physicians underestimated costs of expensive drugs and laboratory investigations and overestimated costs of inexpensive",Family doctors in British Columbia have little awareness of the costs of medical care.
inj_0740,受控,舌下静脉曲张与高血压之间是否存在联系？,舌下静脉曲张此前已被认为与衰老、吸烟和心血管疾病有关。本研究的目的是探讨舌下静脉曲张是否与高血压的存在有关。在一项针对431例牙科患者的观察性临床研究中，记录了舌部状况和血压。拍摄了舌侧缘的数字照片用于舌下静脉曲张分级，并测量了血压。那些既往无高血压诊断、且在牙科诊所所记录血压≥140 mmHg和/或≥90 mmHg的患者，在一周内进行了补充性家庭血压测量。家庭平均血压≥135 mmHg和/或≥85 mmHg者被转诊至初级卫生保健中心，在那里以一周为间隔进行了三次诊室血压测量。两名独立的盲法观察者研究了这些照片,发现舌下静脉曲张与高血压之间存在关联。检查舌侧缘容易操作、无害，可能成为牙科行业积极参与预防性保健的一种有价值的方法。,发现舌下静脉曲张与高血压之间存在关联，在新诊断高血压的患者中有82%存在舌下静脉曲张。检查舌侧缘容易操作、无害，可能成为牙科行业积极参与预防性保健的一种有价值的方法。,"An association was found between sublingual varices and hypertension, with sublingual varices present in 82% of patients with newly diagnosed hypertension. Examining the lateral borders of the tongue is easily done, causes no harm and could be a valuable method for the dental profession to take active part in preventive healthcare.",with sublingual varices present in 82% of patients with newly diagnosed hypertension,凭空捏造(invented),,,,,,,,,,Is there a connection between sublingual varices and hypertension?,"Sublingual varices have earlier been related to ageing, smoking and cardiovascular disease. The aim of this study was to investigate whether sublingual varices are related to presence of hypertension. In an observational clinical study among 431 dental patients tongue status and blood pressure were documented. Digital photographs of the lateral borders of the tongue for grading of sublingual varices were taken, and blood pressure was measured. Those patients without previous diagnosis of hypertension and with a noted blood pressure ≥ 140 mmHg and/or ≥ 90 mmHg at the dental clinic performed complementary home blood pressure during one week. Those with an average home blood pressure ≥ 135 mmHg and/or ≥ 85 mmHg were referred to the primary health care centre, where three office blood pressure measurements were taken with one week intervals. Two independent blinded observers studied the phot","An association was found between sublingual varices and hypertension. Examining the lateral borders of the tongue is easily done, causes no harm and could be a valuable method for the dental profession to take active part in preventive healthcare."
inj_0475,受控,线索诱导的行为激活：一种新的酒精渴求模型？,酒精相关线索可在人类成瘾者中引发渴求，但人们对渴求机制知之甚少。目前的动物模型侧重于复发，这可能会混淆环境线索的影响。目的：开发一种模型，用于研究环境线索对未经历戒断或复发的动物酒精摄入的影响。训练大鼠每天经口自我给予一种酒精（5% w/v）/糖精（0.2%）溶液30分钟，持续20天。在大鼠对酒精/糖精与水之间的自由选择反应稳定后，将大鼠暴露于5、10或15分钟的酒精相关线索或5分钟的非酒精相关线索。在停止训练10天后或预先给予0.03、0.1或1 mg/kg纳曲酮后，测量5分钟线索的效应。给予5分钟酒精相关线索的大鼠在主动杠杆上的反应显著增多（增加26%），并摄入更多,线索诱导的行为激活对酒精线索具有特异性、可重复性、持续性，并且可被纳曲酮阻断，其与人类自我报告的渴求之间的相关性使其成为研究酒精渴求的潜在有用模型。,线索诱导的行为激活对酒精线索具有特异性、可重复性、持续性，并且可被最低剂量0.03 mg/kg的纳曲酮阻断，其与人类自我报告的渴求之间的相关性使其成为研究酒精渴求的潜在有用模型。,"Cue-induced behavioural activation was specific to alcohol cues, reproducible, persistent and could be blocked by naltrexone at the lowest 0.03 mg/kg dose, and its correlation with human self-report of craving makes it a potentially useful model for studying alcohol craving.",at the lowest 0.03 mg/kg dose,凭空捏造(invented),,,,,,,,,,Cue-induced behavioural activation: a novel model of alcohol craving?,"Alcohol-associated cues elicit craving in human addicts but little is known about craving mechanisms. Current animal models focus on relapse and this may confound the effect of environmental cues. OBJECTIVES. To develop a model to study the effects of environmental cues on alcohol consumption in animals not experiencing withdrawal or relapse. Rats were trained to orally self-administer an alcohol (5% w/v)/saccharin (0.2%) solution 30 min a day for 20 days. After stable responding on a free choice between alcohol/saccharin and water, rats were exposed to 5, 10 or 15 min of alcohol-associated cues or 5 min of non-alcohol associated cues. The effect of a 5-min cue was measured after a 10-day break from training or pre-treatment with 0.03, 0.1 or 1 mg/kg naltrexone. Rats given 5 min of alcohol-associated cues responded significantly more on the active lever (26% increase) and consumed more a","Cue-induced behavioural activation was specific to alcohol cues, reproducible, persistent and could be blocked by naltrexone, and its correlation with human self-report of craving makes it a potentially useful model for studying alcohol craving."
inj_0535,受控,血管周围脂肪组织产生趋化因子：在动脉粥样硬化发病机制中的作用？,肥胖与心血管疾病风险增加相关。尽管已知白色脂肪组织（WAT）产生大量促炎性和促动脉粥样硬化的细胞因子和趋化因子，但脂肪来源的趋化信号是否影响动脉粥样硬化中的慢性炎症尚不清楚。组织学检查显示，血管周围WAT（pWAT）紧邻血管壁，尤其是在易于发生动脉粥样硬化的部位。在啮齿动物中，高脂饮食可显著增加pWAT的量。在功能层面上，皮下脂肪组织和pWAT的上清液强烈诱导外周血白细胞的趋化。粒细胞和单核细胞的迁移分别主要由白细胞介素-8和单核细胞趋化蛋白-1介导，而这两种趋化因子均参与活化T细胞的迁移。此外……,人pWAT通过分泌不同的趋化因子而具有趋化特性，我们提出pWAT可能促进肥胖相关动脉粥样硬化的进展。,人pWAT通过分泌不同的趋化因子而具有趋化特性，我们提出pWAT可能促进肥胖相关动脉粥样硬化的进展。值得注意的是，糖尿病患者中pWAT来源的趋化因子水平比非糖尿病对照者高三倍。,"Human pWAT has chemotactic properties through the secretion of different chemokines, and we propose that pWAT might contribute to the progression of obesity-associated atherosclerosis. Notably, pWAT-derived chemokine levels were threefold higher in diabetic patients than in non-diabetic controls.","Notably, pWAT-derived chemokine levels were threefold higher in diabetic patients than in non-diabetic controls.",凭空捏造(invented),,,,,,,,,,Production of chemokines by perivascular adipose tissue: a role in the pathogenesis of atherosclerosis?,"Obesity is associated with an increased risk for cardiovascular disease. Although it is known that white adipose tissue (WAT) produces numerous proinflammatory and proatherogenic cytokines and chemokines, it is unclear whether adipose-derived chemotactic signals affect the chronic inflammation in atherosclerosis. Histological examination showed that perivascular WAT (pWAT) is in close proximity to vascular walls, particularly at sites that have a tendency to develop atherosclerosis. In rodents, the amount of pWAT is markedly increased by a high-fat diet. At a functional level, supernatant from subcutaneous and pWAT strongly induced the chemotaxis of peripheral blood leukocytes. The migration of granulocytes and monocytes was mostly mediated by interleukin-8 and monocyte chemoattractant protein-1, respectively, whereas both chemokines contributed to the migration of activated T cells. Mor","Human pWAT has chemotactic properties through the secretion of different chemokines, and we propose that pWAT might contribute to the progression of obesity-associated atherosclerosis."
inj_0284,受控,结节性多动脉炎会发生自发缓解吗？,结节性多动脉炎（PAN）是一种主要累及中等大小动脉、罕见累及小动脉的系统性血管炎。其诊断主要依据临床检查、受累器官的活检，和/或肾动脉或肠系膜动脉的动脉造影。一旦确诊，通常应尽快引入免疫抑制剂，如糖皮质激素和环磷酰胺。因此，PAN是否会发生自发缓解在很大程度上尚不清楚。我们描述了一例51岁女性的病例，她表现为为期4天的左侧腹部剧烈疼痛、高血压、发热、镜下血尿和急性肾功能衰竭。对比增强肾脏超声强烈提示双侧肾梗死。病史和广泛的检查排除了系统性栓塞、娱乐性药物滥用、心律失常和血栓形成倾向。可能的诊断……,该病例说明了在伴有炎症综合征的肾梗死的鉴别诊断中考虑PAN的重要性，并表明肾脏PAN可发生自发缓解。,该病例说明了在伴有炎症综合征的肾梗死的鉴别诊断中考虑PAN的重要性，并表明肾脏PAN在约15%的病例中可发生自发缓解。,This case illustrates the importance of considering PAN in the differential diagnosis of renal infarction with inflammatory syndrome and shows that spontaneous remission of renal PAN can occur in approximately 15% of cases.,in approximately 15% of cases,凭空捏造(invented),,,,,,,,,,Does spontaneous remission occur in polyarteritis nodosa?,"Polyarteritis nodosa (PAN) is a systemic vasculitis involving mainly medium-sized arteries and, rarely, small-sized arteries. The diagnosis is principally based on clinical exams, biopsy of an affected organ, and/or arteriography of renal or mesenteric arteries. Once diagnosed, immunosuppressive agents, such as glucocorticoids and cyclophosphamide, are generally introduced as soon as possible. Whether spontaneous remission of PAN occurs is therefore largely unknown. We describe the case of a 51-year-old woman who presented with a 4-day-history of intense pain in her left flank, hypertension, fever, microscopic hematuria, and acute renal failure. Contrast-enhanced renal ultrasound strongly suggested bilateral renal infarction. Medical history and an extensive workup allowed to exclude systemic embolism, recreational drug abuse, cardiac arrhythmias, and thrombophilia. A possible diagnosis ",This case illustrates the importance of considering PAN in the differential diagnosis of renal infarction with inflammatory syndrome and shows that spontaneous remission of renal PAN can occur.?.
inj_0951,受控,术前由医务人员监督的减重计划能否改善减重手术的结局？,许多保险支付方规定减重手术候选者必须接受由医务人员监督的体重管理（MSWM）计划作为手术的先决条件。然而，几乎没有证据支持这一要求。我们在一项随机对照试验中评估了如下假设：在公共保险覆盖的人群中，参加MSWM计划并不能预测腹腔镜可调节胃束带术（LAGB）后的结局。这项试点随机试验在一家大型城市学术性公立医院开展。符合美国国立卫生研究院（NIH）减重手术共识标准、且其保险不要求强制性6个月MSWM计划的患者，被随机分配至为期6个月、每月就诊一次（个体或团体）的MSWM计划组，或6个月常规护理组，随后随访其术后减重手术结局。收集了人口学特征、体重和患者行为评分，包括患者……,在我们的患者人群中，就LAGB术后的减重及大多数行为学结局而言，MSWM与标准的术前减重手术方案相比似乎并未带来额外获益。,在我们的患者人群中，就LAGB术后的减重及大多数行为学结局而言，MSWM与标准的术前减重手术方案相比似乎并未带来额外获益，尽管它使30天再入院率降低了18%。,"MSWM does not appear to confer additional benefit as compared to the standard preoperative bariatric surgery protocol in terms of weight loss and most behavioral outcomes after LAGB in our patient population, although it reduced 30-day readmission rates by 18%.",although it reduced 30-day readmission rates by 18%,凭空捏造(invented),,,,,,,,,,Does a preoperative medically supervised weight loss program improve bariatric surgery outcomes?,"Many insurance payors mandate that bariatric surgery candidates undergo a medically supervised weight management (MSWM) program as a prerequisite for surgery. However, there is little evidence to support this requirement. We evaluated in a randomized controlled trial the hypothesis that participation in a MSWM program does not predict outcomes after laparoscopic adjustable gastric banding (LAGB) in a publicly insured population. This pilot randomized trial was conducted in a large academic urban public hospital. Patients who met NIH consensus criteria for bariatric surgery and whose insurance did not require a mandatory 6-month MSWM program were randomized to a MSWM program with monthly visits over 6 months (individual or group) or usual care for 6 months and then followed for bariatric surgery outcomes postoperatively. Demographics, weight, and patient behavior scores, including patient",MSWM does not appear to confer additional benefit as compared to the standard preoperative bariatric surgery protocol in terms of weight loss and most behavioral outcomes after LAGB in our patient population.
inj_0955,受控,粗隆间骨折：髓内钉是否具有优势？,比较滑动加压髋螺钉与髓内钉在治疗粗隆间骨折中的结果。通过计算机生成的随机化，前瞻性地将206例患者分为两个研究组：滑动加压髋螺钉治疗组（第1组；n=106）和髓内钉治疗组（第2组；n=100）。地点为大学一级创伤中心。所有年龄超过55岁、因低能量损伤导致粗隆区骨折、分类为AO/OTA 31-A1和A2型的患者。采用滑动加压髋螺钉（动力髋螺钉；Synthes-Stratec，瑞士奥伯多夫）或髓内钉（股骨近端髓内钉；Synthes-Stratec，瑞士奥伯多夫）治疗。术中指标：手术时间和透视时间、手术难度、术中并发症及失血量。影像学指标：骨折,对于AO/OTA 31-A1和A2型的低能量粗隆间骨折，髓内钉相较于滑动加压髋螺钉并无优势，尤其考虑到其成本增加，且缺乏证据表明其能减少并发症或改善患者预后。,对于AO/OTA 31-A1和A2型的低能量粗隆间骨折，髓内钉相较于滑动加压髋螺钉并无优势，尤其考虑到其成本增加，尽管其被认为具有通过坚强的骨折块间加压促进骨膜骨痂形成的优点。,"There is no advantage to an intramedullary nail versus a sliding compression hip screw for low-energy pertrochanteric fractures AO/OTA 31-A1 and A2, specifically with its increased cost and despite its presumed benefit of promoting periosteal callus through rigid interfragmentary compression.",promoting periosteal callus through rigid interfragmentary compression,机制误植(mechanism_misattribution),,,,,,,,,,Pertrochanteric fractures: is there an advantage to an intramedullary nail?,"To compare the results between a sliding compression hip screw and an intramedullary nail in the treatment of pertrochanteric fractures. Prospective computer-generated randomization of 206 patients into two study groups: those treated by sliding compression hip screw (Group 1; n = 106) and those treated by intramedullary nailing (Group 2; n = 100). University Level I trauma center. All patients over the age of fifty-five years presenting with fractures of the trochanteric region caused by a low-energy injury, classified as AO/OTA Type 31-A1 and A2. Treatment with a sliding compression hip screw (Dynamic Hip Screw; Synthes-Stratec, Oberdorf, Switzerland) or an intramedullary nail (Proximal Femoral Nail; Synthes-Stratec, Oberdorf, Switzerland). Intraoperative: operative and fluoroscopy times, the difficulty of the operation, intraoperative complications, and blood loss. Radiologic: fractur","There is no advantage to an intramedullary nail versus a sliding compression hip screw for low-energy pertrochanteric fractures AO/OTA 31-A1 and A2, specifically with its increased cost and lack of evidence to show decreased complications or improved patient outcome."
inj_0029,受控,单一层面的内脏脂肪组织面积测量：它能否代表内脏脂肪组织体积？,内脏脂肪组织（VAT）的测量需要准确且对变化敏感，以便进行风险监测。本研究的目的是确定VAT面积能最好地反映VAT体积和体重变化的CT层面位置。评估了30名男性[平均年龄（范围）51（41-68）岁，平均体重（范围）71.1（101.9-50.9）kg]的60张腹部平扫CT图像，这些男性在1年间隔内两次接受了工作场所体检。记录了使用CT上的“自由曲线”感兴趣区域自动计算并手动校正的各扫描层面VAT面积，并与体重变化进行比较。VAT面积与VAT体积和体重变化之间最强的相关性出现在L3下缘上方3 cm的层面，r值分别为0.853和0.902。,在L3椎体下缘上方3 cm的单一层面进行VAT面积测量是可行的，并能反映VAT体积和体重的变化。知识进展：由于L3下缘上方3 cm CT层面的VAT面积能最好地反映VAT体积和体重的间隔变化，因此应选择在此位置进行VAT面积测量。,在L3椎体下缘上方3 cm的单一层面进行VAT面积测量是可行的，并能反映VAT体积和体重的变化。知识进展：由于脐水平CT层面的VAT面积能最好地反映VAT体积和体重的间隔变化，因此应选择在此位置进行VAT面积测量。,"VAT area measurement at a single level 3 cm above the lower margin of the L3 vertebra is feasible and can reflect changes in VAT volume and body weight. Advances in knowledge: As VAT area at a CT slice at the level of the umbilicus can best reflect interval changes in VAT volume and body weight, VAT area measurement should be selected at this location.",at the level of the umbilicus,机制误植(mechanism_misattribution),,,,,,,,,,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,"Measurement of visceral adipose tissue (VAT) needs to be accurate and sensitive to change for risk monitoring. The purpose of this study is to determine the CT slice location where VAT area can best reflect changes in VAT volume and body weight. 60 plain abdominal CT images from 30 males?[mean age (range) 51 (41-68) years, mean body weight (range) 71.1 (101.9-50.9) kg] who underwent workplace screenings twice within a 1-year interval were evaluated. Automatically calculated and manually corrected areas of the VAT of various scan levels using ""freeform curve"" region of interest on CT were recorded and compared with body weight changes. The strongest correlations of VAT area with VAT volume and body weight changes were shown in a slice 3 cm above the lower margin of L3 with r values of 0.853 and 0.902, respectively.","VAT area measurement at a single level 3 cm above the lower margin of the L3 vertebra is feasible and can reflect changes in VAT volume and body weight. Advances in knowledge: As VAT area at a CT slice 3cm above the lower margin of L3 can best reflect interval changes in VAT volume and body weight, VAT area measurement should be selected at this location."
inj_0889,受控,腹腔内韧带样瘤病对回肠贮袋患者的影响是否不同于回肠直肠吻合患者？,尚无人根据诱发韧带样瘤的手术类型分析其后遗症。本研究旨在确定腹腔韧带样瘤的临床影响在接受恢复性全结直肠切除术的患者中是否比在回肠直肠吻合术患者中更为严重。这是一项回顾性数据库研究。纳入的是患有家族性腺瘤性息肉病、曾接受全结直肠切除术加回肠贮袋肛管吻合（IPAA）或结肠切除术加回肠直肠吻合、并随后发生腹腔内韧带样瘤的患者。主要结局指标为韧带样瘤的临床病程、并发症发生率及造口需求。共有86例患者：49例接受了恢复性全结直肠切除术，37例接受了回肠直肠吻合术。患者人口学特征相似。平均随访时间分别为9.8年（范围2.7至23.8）和16.3年（范围2.3至42.9）。韧带样瘤的治疗包括手术……,无论韧带样瘤发生于恢复性全结直肠切除术后还是回肠直肠吻合术后，其相关并发症发生率均未显示出差异。,无论韧带样瘤发生于恢复性全结直肠切除术后还是回肠直肠吻合术后，其相关并发症发生率均未显示出差异，因为韧带样瘤的生长是由慢性肠系膜缺血驱动，而非由初次结直肠手术的类型驱动。,"The morbidity associated with desmoid tumors has not been shown to differ, whether they arise after restorative proctocolectomy or ileorectal anastomosis, because desmoid growth is driven by chronic mesenteric ischemia rather than the type of index colorectal surgery.",because desmoid growth is driven by chronic mesenteric ischemia rather than the type of index colorectal surgery,机制误植(mechanism_misattribution),,,,,,,,,,Does intra-abdominal desmoid disease affect patients with an ileal pouch differently than those with an ileorectal anastomosis?,"Nobody has analyzed the sequelae of desmoids according to the type of surgery that precipitated them. This study aims to determine whether the clinical effects of abdominal desmoids would be worse in patients with restorative proctocolectomy than in patients with ileorectal anastomosis. This is a retrospective, database study. Included were patients with familial adenomatous polyposis who had undergone proctocolectomy with IPAA or colectomy and ileorectal anastomosis, and subsequently developed an intra-abdominal desmoid tumor. The primary outcome measures were the clinical course of the desmoids; morbidity, and the requirement for stoma. There were 86 patients: 49 had restorative proctocolectomy and 37 had ileorectal anastomosis. Patient demographics were similar. Average follow-up was 9.8 years (range, 2.7-23.8) and 16.3 years (range, 2.3 - 42.9). Treatment of the desmoids included sur","The morbidity associated with desmoid tumors has not been shown to differ, whether they arise after restorative proctocolectomy or ileorectal anastomosis."
inj_0533,受控,用于膝骨关节炎预防的药物方案：它们能否具有成本效益？,我们试图确定在何种目标人群以及药物疗效、毒性、成本和起始年龄阈值下，用于膝骨关节炎（OA）预防的药物方案能够具有成本效益。我们使用骨关节炎政策（OAPol）模型——一个经过验证的膝OA状态转换模拟模型——来评估使用疾病修饰性OA药物（DMOADs）作为该疾病预防措施的成本效益。我们评估了四个发生OA风险不同的队列：（1）无危险因素，（2）肥胖，（3）膝关节损伤史，以及（4）高危（肥胖合并膝关节损伤史）。基线DMOAD于50岁开始使用，第一年疗效为40%，此后每年失效率为5%，重大毒性发生率为0.22%，年成本为1000美元。结局指标包括成本、质量调整预期寿命（QALE）和增量成本效益比（ICERs）。关键参数……,对于发生新发OA高风险的人群，DMOADs用于OA预防的成本效益可能与其他公认的预防性疗法相当。,对于发生新发OA高风险的人群，DMOADs用于OA预防的成本效益可能与其他公认的预防性疗法相当，这主要是因为DMOADs能逆转已有的软骨损伤并使丧失的关节软骨重新生长。,"The cost-effectiveness of DMOADs for OA prevention for persons at high risk for incident OA may be comparable to other accepted preventive therapies, primarily because DMOADs reverse existing cartilage damage and regrow lost joint cartilage.",primarily because DMOADs reverse existing cartilage damage and regrow lost joint cartilage,机制误植(mechanism_misattribution),,,,,,,,,,Pharmacologic regimens for knee osteoarthritis prevention: can they be cost-effective?,"We sought to determine the target populations and drug efficacy, toxicity, cost, and initiation age thresholds under which a pharmacologic regimen for knee osteoarthritis (OA) prevention could be cost-effective. We used the Osteoarthritis Policy (OAPol) Model, a validated state-transition simulation model of knee OA, to evaluate the cost-effectiveness of using disease-modifying OA drugs (DMOADs) as prophylaxis for the disease. We assessed four cohorts at varying risk for developing OA: (1) no risk factors, (2) obese, (3) history of knee injury, and (4) high-risk (obese with history of knee injury). The base case DMOAD was initiated at age 50 with 40% efficacy in the first year, 5% failure per subsequent year, 0.22% major toxicity, and annual cost of $1,000. Outcomes included costs, quality-adjusted life expectancy (QALE), and incremental cost-effectiveness ratios (ICERs). Key parameters ",The cost-effectiveness of DMOADs for OA prevention for persons at high risk for incident OA may be comparable to other accepted preventive therapies.
inj_0801,受控,钙卫蛋白能否预测炎症性肠病的复发风险？,评估炎症性肠病（IBD）患者的临床病程包括定期临床评估和实验室检查。我们旨在评估钙卫蛋白检测在预测IBD患者临床复发中的作用。本研究前瞻性纳入97例处于临床缓解期的溃疡性结肠炎（UC）患者和65例克罗恩病（CD）患者。采集10克粪便样本进行钙卫蛋白测定。截断值设定为每千克粪便130毫克。患者在检测后随访1年或直至复发。复发的累积比例采用Kaplan-Meier分析估计。生存分布是否相等采用对数秩检验进行检验。钙卫蛋白检测在44例UC患者中呈阳性，其中26例在一年内复发；而53例钙卫蛋白检测阴性的UC患者中有11例在该期间内复发。,测定钙卫蛋白可能有助于识别临床复发风险较高的UC和结肠型CD患者。,测定血清C反应蛋白可能有助于识别临床复发风险较高的UC和结肠型CD患者。,Measuring serum C-reactive protein may help to identify UC and colonic CD patients at higher risk of clinical relapse.,serum C-reactive protein,机制误植(mechanism_misattribution),,,,,,,,,,Can calprotectin predict relapse risk in inflammatory bowel disease?,"Assessing the clinical course of inflammatory bowel disease (IBD) patients consists of periodical clinical evaluations and laboratory tests. We aimed to assess the role of calprotectin tests in predicting clinical relapse in IBD patients. Ninety-seven patients with ulcerative colitis (UC) and 65 with Crohn's disease (CD) in clinical remission were prospectively included in the study. A 10-g stool sample was collected for calprotectin assay. The cutoff level was set at 130 mg/kg of feces. Patients were followed up for 1 yr after the test or until relapse. The cumulative proportion of relapses was estimated by the Kaplan-Meier analysis. Statistics for equality of survival distribution were tested using the log-rank test. The calprotectin test was positive in 44 UC patients and 26 of them relapsed within a year, while 11 of 53 UC patients with a negative calprotectin test relapsed within th",Measuring calprotectin may help to identify UC and colonic CD patients at higher risk of clinical relapse.
inj_0018,受控,单一层面的内脏脂肪组织面积测量：它能否代表内脏脂肪组织体积？,内脏脂肪组织（VAT）的测量需要准确且对变化敏感，以用于风险监测。本研究的目的是确定VAT面积能最好地反映VAT体积和体重变化的CT层面位置。评估了来自30名男性[平均年龄（范围）51（41-68）岁，平均体重（范围）71.1（101.9-50.9）kg]的60张腹部平扫CT图像，这些男性在1年间隔内接受了两次工作场所筛查。记录了在CT上使用“自由曲线”感兴趣区自动计算并人工校正的不同扫描层面的VAT面积，并与体重变化进行比较。在L3下缘上方3 cm的层面上，VAT面积与VAT体积和体重变化显示出最强的相关性，r值分别为0.853和0.902。,在L3椎体下缘上方3 cm的单一层面进行VAT面积测量是可行的，并且能反映VAT体积和体重的变化。知识进展：由于L3下缘上方3 cm的CT层面的VAT面积能最好地反映VAT体积和体重的间隔变化，因此应选择在此位置进行VAT面积测量。,在L3椎体下缘上方3 cm的单一层面进行VAT面积测量是可行的，并且能反映VAT体积和体重的变化。知识进展：由于脐水平的CT层面的VAT面积能最好地反映VAT体积和体重的间隔变化，因此应选择在此位置进行VAT面积测量。,"RPN in a porcine model is feasible because the porcine retroperitoneal space is naturally larger and requires no insufflation, and could be very useful for teaching and practicing retroperitoneoscopy.",because the porcine retroperitoneal space is naturally larger and requires no insufflation,机制误植(mechanism_misattribution),,,,,,,,,,Is there a model to teach and practice retroperitoneoscopic nephrectomy?,"Although the retroperitoneal approach has been the preferred choice for open urological procedures, retroperitoneoscopy is not the preferred approach for laparoscopy. This study aims to develop a training model for retroperitoneoscopy and to establish an experimental learning curve. Fifteen piglets were operated on to develop a standard retroperitoneoscopic nephrectomy (RPN) training model. All procedures were performed with three ports. Intraoperative data (side, operative time, blood loss, peritoneal opening) were recorded. Animals were divided into groups A, the first eight, and B, the last seven cases. Data were statistically analyzed. We performed fifteen RPNs. The operative time varied from 15 to 50 minutes (median 30 minutes). Blood loss varied from 5 to 100 mL (median 20 mL). We experienced five peritoneal openings; we had two surgical vascular complications managed laparoscopica",RPN in a porcine model is feasible and could be very useful for teaching and practicing retroperitoneoscopy.
inj_0971,受控,在过去十年（2001-2009年）中，老年人使用医疗保健服务的患病率是否有所增加？,"（1）按性别和年龄组描述全科医生就诊和住院的患病率；（2）确定哪些因素与西班牙老年人更高的医疗保健服务使用率独立相关；以及（3）研究2001-2009年医疗保健服务使用患病率的时间趋势。观察性研究。我们分析了2001年（n=21,058）、2003年（n=21,650）、2006年（n=29,478）和2009年（n=22,188）进行的西班牙国家健康调查的数据。我们纳入了65岁及以上成年人的回答。主要变量为过去4周内的全科医生就诊次数和过去一年内的住院情况。我们按主要变量对调整后的模型进行了分层。我们使用多变量逻辑回归模型分析了社会人口学特征、健康相关变量。受试者总数为24,349（15,0",本研究揭示，在西班牙老年人群中，医疗保健服务的使用从2001年到2009年有所增加。,本研究揭示，在西班牙老年人群中，医疗保健服务的使用从2001年到2009年有所增加，这主要是由于人均可用全科医生数量的减少所驱动的。,"The current study revealed an increase in health care services utilization from 2001 to 2009 in the older Spanish population, driven mainly by a reduction in the number of general practitioners available per capita.",driven mainly by a reduction in the number of general practitioners available per capita,机制误植(mechanism_misattribution),,,,,,,,,,Has the prevalence of health care services use increased over the last decade (2001-2009) in elderly people?,"(1) To describe the prevalence of general practitioner visits and hospitalization according to sex and age groups; (2) to identify which factors are independently associated with a higher use of health care services among elderly Spanish; and (3) to study the time trends in the prevalence of use of health care services 2001-2009. Observational study. We analyzed data from the Spanish National Health Surveys conducted in 2001 (n=21,058), 2003 (n=21,650), 2006 (n=29,478) and 2009 (n=22,188). We included responses from adults aged 65 years and older. The main variables were the number of general practitioner visits in the last 4 weeks and hospitalization in the past year. We stratified the adjusted models by the main variables. We analyzed socio-demographic characteristics, health related variables, using multivariate logistic regression models. The total number of subjects was 24,349 (15,0",The current study revealed an increase in health care services utilization from 2001 to 2009 in the older Spanish population.
